
AC NO. , AC NAME , CANDIDATE NAME , SEX , PARTY , GENERAL , POSTAL , TOTAL , % VOTES POLLED , TOTAL ELECTORS ,
28,Akot,2 Adv. Santosh Vasant Rahate,MALE,VBA,41139,187,41326,22.59%,285150,
28,Akot,3 Anil Manikrao Gawande,MALE,IND,28015,168,28183,15.41%,285150,
28,Akot,4 Bodkhe Sanjay Ramdas,MALE,INC,27501,178,27679,15.13%,285150,
28,Akot,5 Tushar Najukrao Pundkar,MALE,PHJSP,23872,62,23934,13.08%,285150,
28,Akot,6 Ramkrushna Laxman Dhigar,MALE,IND,3814,3,3817,2.09%,285150,
28,Akot,7 Abdul Sadique Abdul Khalique,MALE,IND,2942,5,2947,1.61%,285150,
28,Akot,8 Gajanan Shantaram Tayade,MALE,MPS(T),1287,1,1288,0.70%,285150,
28,Akot,9 NOTA,,NOTA,841,16,857,0.47%,285150,
28,Akot,10 Ravindra Madhukar Phate,MALE,MNS,788,4,792,0.43%,285150,
28,Akot,11 Santosh Suryabhan Deulkar,MALE,PPID,776,1,777,0.42%,285150,
28,Akot,12 Vijay VIitthalrao Kogade,MALE,IND,655,,655,0.36%,285150,
28,Akot,13 Amol Motiram Vyavahare,MALE,VMP,597,3,600,0.33%,285150,
28,Akot,14 Mahadev Vishram Wankhade,MALE,IND,361,1,362,0.20%,285150,
28,Akot,15 Ashok Kisanrao Thorat,MALE,IND,320,,320,0.17%,285150,
28,Akot,16 Waman Baldev Sarkate,MALE,BSP,316,1,317,0.17%,285150,
28,Akot,17 Jitendra Basavant Sable,MALE,IND,270,,270,0.15%,285150,
28,Akot,18 Pramod Ramchandra Khandare,MALE,IND,205,,205,0.11%,285150,
 TOTAL : ,,,,,181998,917,182915,64.15%,,
29,Balapur,1 Nitinkumar Bhikanrao Tale,MALE,SHS,68945,398,69343,35.48%,295885,
29,Balapur,2 Dr. Dhairyavardhan Haribhau Pundkar,MALE,VBA,50284,271,50555,25.87%,295885,
29,Balapur,3 Dr. Rahman Khan Haji Kale Khan,MALE,AIMIM,44313,194,44507,22.77%,295885,
29,Balapur,4 Sangram Gulabrao Gawande,MALE,NCP,16329,168,16497,8.44%,295885,
29,Balapur,5 Dudhe Tukaram Ukarda,MALE,SWP,6229,33,6262,3.20%,295885,
29,Balapur,6 NOTA,,NOTA,1743,10,1753,0.90%,295885,
29,Balapur,7 Atharkha Afasar khan,MALE,BMUP,1084,3,1087,0.56%,295885,
29,Balapur,8 Vinod Lalsing Jadhav,MALE,IND,1073,2,1075,0.55%,295885,
29,Balapur,9 Ashwajit Kashiram Sirsat,MALE,IND,730,,730,0.37%,295885,
29,Balapur,10 Varsha Sanjay Bagade,FEMALE,IND,696,9,705,0.36%,295885,
29,Balapur,11 Dinkar Suryabhan Ranbavale,MALE,MPS(T),683,,683,0.35%,295885,
29,Balapur,12 Shaikh Kalim Shaikh Majid,MALE,BSP,601,6,607,0.31%,295885,
29,Balapur,13 Sunita Sudhakar Wankhade,FEMALE,PPID,572,4,576,0.29%,295885,
29,Balapur,14 Raees Ahmad Shaikh Noor,MALE,IND,471,,471,0.24%,295885,
29,Balapur,15 Sachin Ganpat Sharma,MALE,IND,329,,329,0.17%,295885,
29,Balapur,16 Nitinkumar Manik Tajane,MALE,IND,262,1,263,0.13%,295885,
 TOTAL : ,,,,,194344,1099,195443,66.05%,,
30,Akola West,1 Govardhan Mangilal Sharma @ Lalaji,MALE,BJP,72838,424,73262,43.23%,332220,
30,Akola West,2 Sajid Khan Mannan Khan,MALE,INC,70469,200,70669,41.70%,332220,
30,Akola West,3 Madan Bhargad,MALE,VBA,20563,124,20687,12.21%,332220,
30,Akola West,4 NOTA,,NOTA,2598,19,2617,1.54%,332220,
30,Akola West,5 Ravindra Ganeshrao Mundhe,MALE,IND,528,3,531,0.31%,332220,
30,Akola West,6 Dhananjay Pralhadrao Nalat,MALE,BSP,510,2,512,0.30%,332220,
30,Akola West,7 Janardan Narayanrao Kanade,MALE,RSSDP,481,1,482,0.28%,332220,
30,Akola West,8 Pro. Suman Madhukar Tirpude,FEMALE,PPID,246,5,251,0.15%,332220,
30,Akola West,9 Shakti Das Kharare,MALE,BMUP,244,,244,0.14%,332220,
30,Akola West,10 Rahul Ashok Jadhao,MALE,IND,201,,201,0.12%,332220,
 TOTAL : ,,,,,168678,778,169456,51.01%,,
31,Akola East,1 Randhir Pralhadrao Sawarkar,MALE,BJP,99758,717,100475,51.97%,344835,
31,Akola East,2 Bhade Haridas Pandhari,MALE,VBA,75263,489,75752,39.18%,344835,
31,Akola East,3 Vivek Ramrao Paraskar,MALE,INC,9444,89,9533,4.93%,344835,
31,Akola East,4 NOTA,,NOTA,2359,22,2381,1.23%,344835,
31,Akola East,5 Prafulla Alis Prashant Sahebrao Bharsakal,MALE,SBBGP,824,9,833,0.43%,344835,
31,Akola East,6 Ajabrao Ramrao Tale,MALE,IND,743,,743,0.38%,344835,
31,Akola East,7 Priti Pramod Sadanshiv,FEMALE,RPIS,706,3,709,0.37%,344835,
31,Akola East,8 Athawale Sanjay Gopalrao,MALE,IND,627,1,628,0.32%,344835,
31,Akola East,9 Harshal Ashok Shirsat,MALE,BMUP,615,1,616,0.32%,344835,
31,Akola East,10 Sheshrao Bhaurao Khadse,MALE,BSP,478,7,485,0.25%,344835,
31,Akola East,11 Mahendra Ramesh Bhojane,MALE,IND,430,2,432,0.22%,344835,
31,Akola East,12 Nikhil Malti Bhonde,MALE,PPID,298,2,300,0.16%,344835,
31,Akola East,13 Anil Bapurao Kaple,MALE,IND,257,1,258,0.13%,344835,
31,Akola East,14 Ashok Bhimrao Koltake,MALE,IND,193,1,194,0.10%,344835,
 TOTAL : ,,,,,191995,1344,193339,56.07%,,
32,Murtizapur ,1 Harish Marotiappa Pimpale,MALE,BJP,59240,287,59527,33.92%,321817,
32,Murtizapur ,2 Awachar Pratibha Prabhakar,FEMALE,VBA,57399,218,57617,32.84%,321817,
32,Murtizapur ,3 Ravikumar Rameshchandra Rathi,MALE,NCP,40849,306,41155,23.45%,321817,
32,Murtizapur ,4 Rajkumar Narayanrao Nachane,MALE,PHJSP,8725,39,8764,4.99%,321817,
32,Murtizapur ,5 Ashish Shankarappa Bare,MALE,IND,2443,2,2445,1.39%,321817,
32,Murtizapur ,6 NOTA,,NOTA,1211,14,1225,0.70%,321817,
32,Murtizapur ,7 Ravi Nagorao Meshram,MALE,BSP,846,4,850,0.48%,321817,
32,Murtizapur ,8 Gautam Namdeo Kankal,MALE,MPS(T),785,,785,0.45%,321817,
32,Murtizapur ,9 Milind Arjun Jamnik,MALE,IND,511,1,512,0.29%,321817,
32,Murtizapur ,10 Pandurang Moropant Ingale,MALE,BVA,496,3,499,0.28%,321817,
32,Murtizapur ,11 Baliram Gonduji Ingle,MALE,IND,488,,488,0.28%,321817,
32,Murtizapur ,12 Pravina Laxman Bhatkar,FEMALE,BMUP,485,,485,0.28%,321817,
32,Murtizapur ,13 Sudarshan Pralhad Suradkar,MALE,PPID,431,2,433,0.25%,321817,
32,Murtizapur ,14 Rajesh Tulshiram Khade,MALE,IND,387,4,391,0.22%,321817,
32,Murtizapur ,15 Dipak Ramchandra Ingle,MALE,IND,293,,293,0.17%,321817,
 TOTAL : ,,,,,174589,880,175469,54.52%,,
33,Risod,1 Amit Subhashrao Zanak,MALE,INC,69167,708,69875,34.02%,308878,
33,Risod,2 Anantrao Vitthalrao Deshmukh,MALE,IND,67204,530,67734,32.97%,308878,
33,Risod,3 Dilip Rambhau Jadhao,MALE,VBA,34360,115,34475,16.78%,308878,
33,Risod,4 Sanap Vishwnath Ashruji,MALE,SHS,22954,121,23075,11.23%,308878,
33,Risod,5 NOTA,,NOTA,1529,5,1534,0.75%,308878,
33,Risod,6 Vishwanath Tukaram Shevale,MALE,IND,1397,8,1405,0.68%,308878,
33,Risod,7 Chetan Wamanrao Ingale,MALE,IND,1039,,1039,0.51%,308878,
33,Risod,8 Tasvarkha Gulam Gauskha,MALE,IND,988,,988,0.48%,308878,
33,Risod,9 Anil Rangrao Ghuge,MALE,IND,746,,746,0.36%,308878,
33,Risod,10 Dattarao Bhikaji Dhande,MALE,AIMIM,678,1,679,0.33%,308878,
33,Risod,11 Prashant Vishnu Bakal,MALE,IND,650,,650,0.32%,308878,
33,Risod,12 Dr. Prashant Gawande Patil,MALE,SBBGP,639,,639,0.31%,308878,
33,Risod,13 She. Khaja She. Farid,MALE,BSP,594,4,598,0.29%,308878,
33,Risod,14 Rajesh Shrikrushna Ambhore,MALE,BVA,596,,596,0.29%,308878,
33,Risod,15 Vijaykumar Wamanrao Ulhamale,MALE,MNS,586,,586,0.29%,308878,
33,Risod,16 Dr. Radhakisan Madhukarrao Kshirsagar,MALE,IND,486,,486,0.24%,308878,
33,Risod,17 Dr. Rajiv Nandkishor Agrawal,MALE,IND,312,,312,0.15%,308878,
 TOTAL : ,,,,,203925,1492,205417,66.50%,,
34,Washim ,1 Lakhan Sahadeo Malik,MALE,BJP,65641,518,66159,32.00%,349279,
34,Washim ,2 Siddharth Akaramji Deole,MALE,VBA,52050,414,52464,25.38%,349279,
34,Washim ,3 Pendharkar Shashikant Yashwantrao,MALE,IND,45072,335,45407,21.96%,349279,
34,Washim ,4 Rajani Mahadev Rathod,FEMALE,INC,30493,223,30716,14.86%,349279,
34,Washim ,5 Dr. Bharat Laxman Nandure,MALE,CPI,1651,4,1655,0.80%,349279,
34,Washim ,6 NOTA,,NOTA,1478,13,1491,0.72%,349279,
34,Washim ,7 Sachin Wamanrao Pattebahadur,MALE,IND,1408,3,1411,0.68%,349279,
34,Washim ,8 Mahada Ashru Hiwale,MALE,VMP,1408,3,1411,0.68%,349279,
34,Washim ,9 Bhalerao Dipak Ramesh,MALE,IND,1313,1,1314,0.64%,349279,
34,Washim ,10 Rahul Jaikumar Balkhande,MALE,SBBGP,1066,8,1074,0.52%,349279,
34,Washim ,11 Santosh Bansi Kodisangat,MALE,PHJSP,1066,3,1069,0.52%,349279,
34,Washim ,12 Bhagwat Sakharam Ranbawale,MALE,IND,977,1,978,0.47%,349279,
34,Washim ,13 Dilip Pandurang Bhojraj,MALE,BSP,840,6,846,0.41%,349279,
34,Washim ,14 Saurabh Ravindra Gaikwad,MALE,BMUP,737,1,738,0.36%,349279,
 TOTAL : ,,,,,205200,1533,206733,59.19%,,
35,Karanja,1 PATNI RAJENDRA SUKHANAND,MALE,BJP,72830,375,73205,39.29%,301654,
35,Karanja,2 DAHAKE PRAKASH UTTAMRAO,MALE,NCP,49882,599,50481,27.09%,301654,
35,Karanja,3 MO. YUSUF MO. SHAFI PUNJANI,MALE,BSP,41752,155,41907,22.49%,301654,
35,Karanja,4 DR. RAM SHESHRAO CHAVHAN,MALE,VBA,12419,74,12493,6.70%,301654,
35,Karanja,5 DR. SUBHASH PANDURANG RATHOD,MALE,MNS,2148,12,2160,1.16%,301654,
35,Karanja,6 DIGAMBAR NARENDRA CHAVHAN,MALE,IND,1811,5,1816,0.97%,301654,
35,Karanja,7 NOTA,,NOTA,1140,2,1142,0.61%,301654,
35,Karanja,8 ANNASAHEB UTTAM RODGE,MALE,IND,566,,566,0.30%,301654,
35,Karanja,9 VINOD PANJABRAO NANDAGAVALI,MALE,IND,495,,495,0.27%,301654,
35,Karanja,10 ADESH RAMBHAU GAWAI,MALE,BMUP,407,5,412,0.22%,301654,
35,Karanja,11 MANISH DAMODAR MODAK,MALE,PHJSP,408,,408,0.22%,301654,
35,Karanja,12 KARIM SATTAR SHEIKH,MALE,RUC,369,,369,0.20%,301654,
35,Karanja,13 CO. RAMKRUSHNA PUNDLIKRAO SAWAKE,MALE,CPIM,278,,278,0.15%,301654,
35,Karanja,14 MANIK MAHADEVRAO PAWADE,MALE,SBBGP,263,1,264,0.14%,301654,
35,Karanja,15 PURUSHOTTAM NAGOJI THOMBE,MALE,RPIR,188,1,189,0.10%,301654,
35,Karanja,16 MURLIDHAR LALSING PAWAR,MALE,VINPA,157,,157,0.08%,301654,
 TOTAL : ,,,,,185113,1229,186342,61.77%,,
36,Dhamamgaon railway,1 ADSAD PRATAP ARUNBHAU,MALE,BJP,90393,439,90832,43.29%,314698,
36,Dhamamgaon railway,2 JAGTAP VIRENDRA WALMIKRAO,MALE,INC,80978,335,81313,38.75%,314698,
36,Dhamamgaon railway,3 VISHWAKARMA NILESH TARACHAND,MALE,VBA,23700,79,23779,11.33%,314698,
36,Dhamamgaon railway,4 PRAVIN DINKARRAO GHUIKHEDKAR,MALE,IND,2662,6,2668,1.27%,314698,
36,Dhamamgaon railway,5 ABHIJIT PRAVIN DHEPE,MALE,IND,2547,6,2553,1.22%,314698,
36,Dhamamgaon railway,6 SAVITA BHIMRAO KATAKTALWARE,FEMALE,BSP,2188,8,2196,1.05%,314698,
36,Dhamamgaon railway,7 FIROZ PATHAN,MALE,IND,1030,,1030,0.49%,314698,
36,Dhamamgaon railway,8 MAROTI NAMADEV SAHARE,MALE,IND,987,1,988,0.47%,314698,
36,Dhamamgaon railway,9 SHAILESH DIWAKAR ROHANKAR,MALE,IND,842,1,843,0.40%,314698,
36,Dhamamgaon railway,10 NOTA,,NOTA,784,4,788,0.38%,314698,
36,Dhamamgaon railway,11 VISHAL UTTAMRAO GHADGE,MALE,ABHM,418,,418,0.20%,314698,
36,Dhamamgaon railway,12 CHANDRDEEP ALIAS NANASAHEB SHANKARRAO DONGARE,MALE,IND,404,1,405,0.19%,314698,
36,Dhamamgaon railway,13 SONWANE AWADHUT VISHWANATH,MALE,IND,249,,249,0.12%,314698,
36,Dhamamgaon railway,14 CHAUDHARI WASUDEO KASHINATHRAO,MALE,JANADIP,247,,247,0.12%,314698,
36,Dhamamgaon railway,15 NILAM DEVIDAS RANGARKAR,MALE,IND,239,,239,0.11%,314698,
36,Dhamamgaon railway,16 SUNITA VIJAY RAIBOLE,FEMALE,PPID,235,,235,0.11%,314698,
36,Dhamamgaon railway,17 GAURAV SUDHAKARRAO SAWALAKHE,MALE,IND,229,,229,0.11%,314698,
36,Dhamamgaon railway,18 UTTAMRAO JUNGLUJI GAWAI,MALE,RP(K),229,,229,0.11%,314698,
36,Dhamamgaon railway,19 DESHMUKH PRAVINYA PRAMODRAO,MALE,IND,222,2,224,0.11%,314698,
36,Dhamamgaon railway,20 KHOBRAGADE HARSHWARDHAN BALIRAMJI,MALE,BVA,220,2,222,0.11%,314698,
36,Dhamamgaon railway,21 SANDEEP BABULAL MESHRAM,MALE,IND,133,,133,0.06%,314698,
 TOTAL : ,,,,,208936,884,209820,66.67%,,
37,Badnera,1 Ravi Rana,MALE,IND,89876,584,90460,48.46%,355888,
37,Badnera,2 Band Priti Sanjay,FEMALE,SHS,74145,774,74919,40.14%,355888,
37,Badnera,3 Pramod Yashwantrao Ingale,MALE,VBA,8126,79,8205,4.40%,355888,
37,Badnera,4 Sheela Santosh Meshram,FEMALE,IND,3740,,3740,2.00%,355888,
37,Badnera,5 Adv. Vilas Devidas Gawande,MALE,BSP,3392,27,3419,1.83%,355888,
37,Badnera,6 NOTA,,NOTA,1318,11,1329,0.71%,355888,
37,Badnera,7 Shekh Shaphi Abdul Haphij,MALE,IND,766,1,767,0.41%,355888,
37,Badnera,8 Mrudula Kishor Sonone,FEMALE,IND,711,1,712,0.38%,355888,
37,Badnera,9 Rani Patil,FEMALE,IND,706,2,708,0.38%,355888,
37,Badnera,10 Suraj Narayan Gharade,MALE,IND,485,,485,0.26%,355888,
37,Badnera,11 Gadhave Pravin Rameshwarrao,MALE,KiSP,342,1,343,0.18%,355888,
37,Badnera,12 Rahul Manikrao Deshmukh,MALE,PPID,297,,297,0.16%,355888,
37,Badnera,13 Gadling Shridhar Vithoba,MALE,IND,272,,272,0.15%,355888,
37,Badnera,14 Adv. Ratnakar Sudamrao Bansod,MALE,BMUP,265,4,269,0.14%,355888,
37,Badnera,15 Athawale Sanjay Hiramanji,MALE,BVA,196,,196,0.11%,355888,
37,Badnera,16 Prashant Panjab Jadhav,MALE,IND,187,1,188,0.10%,355888,
37,Badnera,17 Mahesh Subhashrao Deshmukh,MALE,IND,163,,163,0.09%,355888,
37,Badnera,18 Chavhan Jivan Kishorrao,MALE,GGP,148,,148,0.08%,355888,
37,Badnera,19 Suresh Maroti Meshram,MALE,IND,45,,45,0.02%,355888,
 TOTAL : ,,,,,185180,1485,186665,52.45%,,
38,Amravati,1 Sulbha Sanjay Khodke,FEMALE,INC,81710,871,82581,47.81%,345746,
38,Amravati,2 Dr. Sunil Panjabrao Deshmukh,MALE,BJP,63439,874,64313,37.23%,345746,
38,Amravati,3 Alim Patel Mo. Wahid,MALE,VBA,16945,158,17103,9.90%,345746,
38,Amravati,4 NOTA,,NOTA,1925,19,1944,1.13%,345746,
38,Amravati,5 Mohhammad Ejaj Mohammad Yunus,MALE,IND,1788,2,1790,1.04%,345746,
38,Amravati,6 Dr. Moin Mufeez Deshmukh,MALE,BSP,1352,20,1372,0.79%,345746,
38,Amravati,7 Rahulbhau Mohod Alias �Buddhaputra�,MALE,BAHUMP,474,1,475,0.28%,345746,
38,Amravati,8 Abhijit Rajendra Dalvi,MALE,IND,465,1,466,0.27%,345746,
38,Amravati,9 Ganesh Manohar Patil,MALE,IND,357,4,361,0.21%,345746,
38,Amravati,10 Kishoranand Ajabrao Deshmukh,MALE,IND,291,1,292,0.17%,345746,
38,Amravati,11 Chaudhari Wasudeo Kashinathrao,MALE,JANADIP,288,2,290,0.17%,345746,
38,Amravati,12 Bhau Purushottam Bagdi,MALE,IND,281,2,283,0.16%,345746,
38,Amravati,13 Ramkrishna Adkuji Mahajan,MALE,IND,231,,231,0.13%,345746,
38,Amravati,14 Raju Madhukarrao Kalane,MALE,KiSP,197,,197,0.11%,345746,
38,Amravati,15 Dhananjay Deshmukh,MALE,SBBGP,181,3,184,0.11%,345746,
38,Amravati,16 Dr. Roshan Prabhakarrao Ardak,MALE,AAAP,161,1,162,0.09%,345746,
38,Amravati,17 Pravin Mahadev Alias Maroti Sarode,MALE,IND,152,1,153,0.09%,345746,
38,Amravati,18 Sindhu Tai Vilas Ingle,FEMALE,IND,147,1,148,0.09%,345746,
38,Amravati,19 Madhav Jalbaji Karegaonkar,MALE,IND,138,7,145,0.08%,345746,
38,Amravati,20 Pramod Damodarrao Wakode,MALE,PPID,124,2,126,0.07%,345746,
38,Amravati,21 Raosaheb Gondane,MALE,RJanPty,107,,107,0.06%,345746,
 TOTAL : ,,,,,170753,1970,172723,49.96%,,
39,Teosa,1 Adv. Yashomati Chandrakant Thakur,FEMALE,INC,75857,361,76218,43.89%,295992,
39,Teosa,2 Rajesh Shriram Wankhade,MALE,SHS,65624,233,65857,37.92%,295992,
39,Teosa,3 Dipak Devrao Sardar,MALE,VBA,14314,39,14353,8.26%,295992,
39,Teosa,4 Chhotu Maharaj Wasu (Pawan Vijay Wasu),MALE,PHJSP,10583,15,10598,6.10%,295992,
39,Teosa,5 Abdul Naim Abdul Jalil,MALE,BSP,3141,6,3147,1.81%,295992,
39,Teosa,6 NOTA,,NOTA,1125,6,1131,0.65%,295992,
39,Teosa,7 Sanjay Shivling Kolhe,MALE,IND,669,2,671,0.39%,295992,
39,Teosa,8 Dilip Bajirao Dhanade,MALE,IND,580,,580,0.33%,295992,
39,Teosa,9 Bodakhe Sanjay Gopalrao,MALE,PPID,434,,434,0.25%,295992,
39,Teosa,10 Mo. Rajik Sk. Hasan,MALE,IND,400,,400,0.23%,295992,
39,Teosa,11 Pradip Gangadhar Mahajan,MALE,BMUP,287,,287,0.17%,295992,
 TOTAL : ,,,,,173014,662,173676,58.68%,,
40,Daryapur ,1 Balwant Baswant Wankhade,MALE,INC,95081,808,95889,50.38%,297583,
40,Daryapur ,2 Bundile Ramesh Ganpatrao,MALE,BJP,64856,514,65370,34.34%,297583,
40,Daryapur ,3 Seema Sawale,FEMALE,IND,18372,57,18429,9.68%,297583,
40,Daryapur ,4 Wakpanjar Rekha Sahebrao,FEMALE,VBA,4583,29,4612,2.42%,297583,
40,Daryapur ,5 Adv. Santosh Gonduji Kolhe,MALE,RPI,1476,6,1482,0.78%,297583,
40,Daryapur ,6 NOTA,,NOTA,1358,18,1376,0.72%,297583,
40,Daryapur ,7 Gautam Ramdas Ingale,MALE,BSP,906,8,914,0.48%,297583,
40,Daryapur ,8 Sanjay Tulashiram Pinjarkar,MALE,IND,799,1,800,0.42%,297583,
40,Daryapur ,9 Adv. Bodade Chandrakant Babanrao,MALE,MPS(T),519,2,521,0.27%,297583,
40,Daryapur ,10 Vijay Yashwant Vilhekar,MALE,IND,493,6,499,0.26%,297583,
40,Daryapur ,11 Meshram Vinod Gulabrao,MALE,ARP,281,1,282,0.15%,297583,
40,Daryapur ,12 Meenakshi Someshor Karwade,FEMALE,BAHUMP,171,1,172,0.09%,297583,
 TOTAL : ,,,,,188895,1451,190346,63.96%,,
41,Melghat ,1 Rajkumar Dayaram Patel,MALE,PHJSP,84378,191,84569,46.48%,277523,
41,Melghat ,2 Ramesh Mawaskar,MALE,BJP,43021,186,43207,23.75%,277523,
41,Melghat ,3 Kewalram Tulshiram Kale,MALE,NCP,35656,207,35863,19.71%,277523,
41,Melghat ,4 Darsimbe Mannalal Khubilal,MALE,IND,8892,16,8908,4.90%,277523,
41,Melghat ,5 NOTA,,NOTA,2826,9,2835,1.56%,277523,
41,Melghat ,6 Gangaram Kunjilal Jambekar,MALE,IND,2344,1,2345,1.29%,277523,
41,Melghat ,7 Dhande Laxman Shikari,MALE,BSP,1639,7,1646,0.90%,277523,
41,Melghat ,8 Umesh Shankarrao Jambhe,MALE,PPID,1560,,1560,0.86%,277523,
41,Melghat ,9 Shailendra Vijay Gawande,MALE,IND,1008,,1008,0.55%,277523,
 TOTAL : ,,,,,181324,617,181941,65.56%,,
42,Achalpur,1 Bachchu Babarao Kadu,MALE,PHJSP,80772,480,81252,43.88%,275255,
42,Achalpur,2 ANIRUDDHA ALIAS BABLUBHAU SUBHANRAO DESHMUKH,MALE,INC,72541,315,72856,39.35%,275255,
42,Achalpur,3 SUNITA NARENDRARAO FISKE,FEMALE,SHS,14970,94,15064,8.14%,275255,
42,Achalpur,4 ABDUL NAZIM ABDUL RAUF,MALE,AIMIM,6325,4,6329,3.42%,275255,
42,Achalpur,5 NANDESH SHESHRAO AMBADKAR,MALE,VBA,3318,37,3355,1.81%,275255,
42,Achalpur,6 DR. RAJENDRA RAMKRISHNA GAWAI,MALE,RPI,2583,8,2591,1.40%,275255,
42,Achalpur,7 NOTA,,NOTA,1480,16,1496,0.81%,275255,
42,Achalpur,8 RAHUL KADU,MALE,IND,1150,2,1152,0.62%,275255,
42,Achalpur,9 SY. ASHAPAK SY.ALI,MALE,BSP,392,3,395,0.21%,275255,
42,Achalpur,10 ROHIDAS ALIAS PREM HARICHAND GAJBHIYE,MALE,BMUP,286,2,288,0.16%,275255,
42,Achalpur,11 Ravi Gunvantrao Wankhade,MALE,IND,222,,222,0.12%,275255,
42,Achalpur,12 PUNDLIKRAO KHADE,MALE,IND,161,,161,0.09%,275255,
 TOTAL : ,,,,,184200,961,185161,67.27%,,
43,Morshi,1 Devendra Mahadevrao Bhuyar,MALE,SWP,95725,427,96152,50.09%,289657,
43,Morshi,2 Dr. Anil Sukhdeorao Bonde,MALE,BJP,85953,408,86361,44.99%,289657,
43,Morshi,3 Bhajikhaye Rajendra Sheshrao,MALE,BSP,2608,21,2629,1.37%,289657,
43,Morshi,4 Chandrakant Vasantrao Kumare,MALE,GGP,1773,1,1774,0.92%,289657,
43,Morshi,5 NOTA,,NOTA,1753,16,1769,0.92%,289657,
43,Morshi,6 Mahendra Uttamarao Bhatkule,MALE,BMUP,781,2,783,0.41%,289657,
43,Morshi,7 Khasbage Sanjay Digambar,MALE,IND,630,6,636,0.33%,289657,
43,Morshi,8 Tantarpale Gopal Yeshwantrao,MALE,IND,588,,588,0.31%,289657,
43,Morshi,9 Vinayak Khajinrao Waghmare,MALE,IND,455,,455,0.24%,289657,
43,Morshi,10 Gunvant Tukaram Dawande,MALE,IND,285,1,286,0.15%,289657,
43,Morshi,11 Vilas Santosh Raut,MALE,PSPU,285,,285,0.15%,289657,
43,Morshi,12 Yuwanate Mahadeo Bastiramji,MALE,IND,256,,256,0.13%,289657,
 TOTAL : ,,,,,191092,882,191974,66.28%,,
44,Arvi ,1 Dadarao Yadaoraoji Keche,MALE,BJP,86883,435,87318,49.35%,262594,
44,Arvi ,2 Amar Sharadrao Kale,MALE,INC,74504,347,74851,42.31%,262594,
44,Arvi ,3 Deepak M. Madavi,MALE,IND,6023,8,6031,3.41%,262594,
44,Arvi ,4 Topale Rupachand,MALE,VBA,2807,41,2848,1.61%,262594,
44,Arvi ,5 Adv. Chandrashekhar Dongre,MALE,BSP,2378,8,2386,1.35%,262594,
44,Arvi ,6 NOTA,,NOTA,1411,5,1416,0.80%,262594,
44,Arvi ,7 Dilip Shamraoji Potfode,MALE,IND,1010,1,1011,0.57%,262594,
44,Arvi ,8 Sanjay Ambadas Wankhede,MALE,SBBGP,347,9,356,0.20%,262594,
44,Arvi ,9 Vilas Vinayakrao Kailuke,MALE,IND,270,,270,0.15%,262594,
44,Arvi ,10 Rahul Parasanji Tayde,MALE,BMUP,226,,226,0.13%,262594,
44,Arvi ,11 Avinash Suresh Badhiye,MALE,IND,215,1,216,0.12%,262594,
 TOTAL : ,,,,,176074,855,176929,67.38%,,
45,Deoli ,1 Ranjit Prataprao Kamble,MALE,INC,75249,96,75345,43.05%,275460,
45,Deoli ,2 Rajesh Bhauraoji Bakane,MALE,IND,39475,66,39541,22.59%,275460,
45,Deoli ,3 Samir Sureshrao Deshmukh,MALE,SHS,30911,67,30978,17.70%,275460,
45,Deoli ,4 Siddharatha Bhojraj Doifode,MALE,VBA,8302,22,8324,4.76%,275460,
45,Deoli ,5 Agrawal Dilip Bajranglal,MALE,IND,8001,15,8016,4.58%,275460,
45,Deoli ,6 Mohan Ramraoji Raikwar,MALE,BSP,5156,10,5166,2.95%,275460,
45,Deoli ,7 Mhaiskar Umesh Mahadeorao,MALE,IND,1617,,1617,0.92%,275460,
45,Deoli ,8 Rajesh Champat Sawarkar,MALE,PHJSP,1219,2,1221,0.70%,275460,
45,Deoli ,9 NOTA,,NOTA,1000,2,1002,0.57%,275460,
45,Deoli ,10 Chetan Ratanlal Sahu,MALE,SVPP,929,,929,0.53%,275460,
45,Deoli ,11 Kiran Marotrao Parise,MALE,IND,800,2,802,0.46%,275460,
45,Deoli ,12 Harshpal Arun Mendhe,MALE,IND,627,1,628,0.36%,275460,
45,Deoli ,13 Nitin Pundlikrao Wankhede,MALE,SBBGP,567,,567,0.32%,275460,
45,Deoli ,14 Nighot Dnyaneshwar Madhukarrao,MALE,IND,507,,507,0.29%,275460,
45,Deoli ,15 Kapilvruksha Babarao Godghate,MALE,IND,390,,390,0.22%,275460,
 TOTAL : ,,,,,174750,283,175033,63.54%,,
46,Hinganghat,1 Samir Trimbakrao Kunawar,MALE,BJP,103059,526,103585,53.83%,296130,
46,Hinganghat,2 Raju Alias Mohan Wasudeorao Timande,MALE,NCP,52444,686,53130,27.61%,296130,
46,Hinganghat,3 Ashok Shamrao Shinde,MALE,IND,12561,62,12623,6.56%,296130,
46,Hinganghat,4 Dr Umesh Somaji Waware,MALE,VBA,6744,66,6810,3.54%,296130,
46,Hinganghat,5 Vilas Nanaji Tembhare,MALE,BSP,4260,25,4285,2.23%,296130,
46,Hinganghat,6 Damadu Warlu Madavi,MALE,GGP,3379,6,3385,1.76%,296130,
46,Hinganghat,7 Anil Atmaram Jawade,MALE,IND,2332,87,2419,1.26%,296130,
46,Hinganghat,8 NOTA,,NOTA,1751,13,1764,0.92%,296130,
46,Hinganghat,9 Manda Ramesh Thaware,FEMALE,IND,1202,,1202,0.62%,296130,
